-0.1441,-0.1729,0
-0.1113,0.702,1
-0.1276,-1.4974,0
0.3323,-0.2673,1
-0.217,0.1159,0
0.2323,1.1636,1
0.6566,0.1105,1
-0.7383,-1.0147,0
0.2463,1.3111,1
0.0417,-0.1063,0
0.5318,-1.4535,0
-0.3123,0.4904,1
0.8734,-0.2406,1
0.3766,0.2482,1
0.7823,-1.1132,0
0.5683,-1.5145,0
-2.6199,-0.6069,0
-0.9158,0.876,0
0.6643,-1.2191,0
0.8474,-1.0022,0
-0.0862,-0.2939,0
0.1144,0.8186,1
0.6384,0.3499,1
0.6499,0.4785,1
-0.627,-0.7174,0
-0.47,0.4993,1
-0.2501,2.3358,1
-0.8193,-1.0989,0
0.7685,1.4218,1
0.5057,0.8358,1
1.4263,-0.094,1
-1.423,-0.5321,0
0.9529,-1.4437,0
0.0335,0.2532,1
-0.3156,0.7236,1
0.5808,2.3214,1
0.62,-0.6094,1
-0.5618,-0.8316,0
0.9523,-0.5668,1
-0.0703,0.7493,1
-0.7235,-0.2937,0
-1.8413,-1.0825,0
-0.5677,0.4158,0
1.1935,-0.0185,1
0.2614,0.168,1
1.0847,0.8934,1
0.2737,-1.0109,0
0.9034,0.381,1
1.2269,-0.0299,1
1.9531,-0.3589,1
